SMILES,Genotoxicity
O=C(C1=CC=CC=C1)C1=CC=CC=C1,0
NC1=C(C(N)=C(C(N)=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,0
S=C(NC1=CC=CC=C1)NC1=CC=CC=C1,0
CC1(C)CO1,1
CN1CCCCC1CCO,0
CN1C=C(C(O)=O)C(=N1)C(F)F,0
ClC1=CC(Cl)=C(Cl)C=C1,0
FC(F)(F)\C=C/C(F)(F)F,0
CCC1C(=O)CCC1=O,0
CC(C)=CCCC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O,0
[Na+].[Na+].OC1=CC(=CC2=C1C(O)=C(N=NC1=C(O)C=CC(Cl)=C1)C(=C2)S([O-])(=O)=O)S([O-])(=O)=O,1
CCCCC(CC)CNC(=O)C1=CC=C(C=C1)N=NC1=C(O)N(C)C(=O)C(C#N)=C1C,0
[Na+].[Na+].[Na+].CC1=C(C=C(OCCCS([O-])(=O)=O)C(=C1)N=NC1=CC=C(O)C(=C1)C([O-])=O)N=NC1=CC=C(C=C1S([O-])(=O)=O)[N+]([O-])=O,0
C1CCC(CC1)N(SC1=NC2=C(S1)C=CC=C2)C1CCCCC1,0
Cl.COC1=CC=CC=C1OCCN,1
C1CO1,1
[Br-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0
[Cl-].CC(=C)C(=O)OCC[N+](C)(C)C,0
O=C=NC1CCC(CC2CCC(CC2)N=C=O)CC1,0
[Ca++].CC(=O)C(N=NC1=C(C=C(C=C1)S([O-])(=O)=O)[N+]([O-])=O)C(=O)NC1=C(Cl)C=CC=C1.CC(=O)C(N=NC1=C(C=C(C=C1)S([O-])(=O)=O)[N+]([O-])=O)C(=O)NC1=C(Cl)C=CC=C1.CC(=O)C(\N=N\C1=C(C=C(C=C1)S([O-])(=O)=O)[N+]([O-])=O)C(=O)NC1=C(Cl)C=CC=C1.CC(=O)C(\N=N\C1=C(C=C(C=C1)S([O-])(=O)=O)[N+]([O-])=O)C(=O)NC1=C(Cl)C=CC=C1,0
CC(C)C[C@H]1OC[C@H](C)CO1,0
O=C1NCCN1,0
CC1=CC(=C(O)C(CC2=C(O)C(=CC(C)=C2)C2(C)CCCCC2)=C1)C1(C)CCCCC1,0
[H+].[Cr+3].CCCCC(CC)CN.CC1=NN(C(=O)[C-]1\N=N\C1=CC=CC=C1C([O-])=O)C1=CC=CC=C1.CC1=NN(C(=O)[C-]1\N=N\C1=CC=CC=C1C([O-])=O)C1=CC=CC=C1,0
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0
[Na+].CCCCCCCCCCCCCC(=O)N[C@@H](CCC([O-])=O)C(O)=O,0
ClC1=CC=CC(Cl)=C1NC1=CC=CC=C1,0
CS(=O)(=O)C1=CC=C(O)C(N)=C1,0
[H][C@]1(O)CS[C@@]([H])(O1)C(=O)O[C@]1([H])C[C@]([H])(C)CC[C@@]1([H])C(C)C,0
COC1=CC(OC)=C(Cl)C=C1NC(=O)C1=CC2=CC=CC=C2C(\N=N\C2=CC(=CC=C2OC)C(=O)NC2=CC=C(C=C2)C(N)=O)=C1O,1
CC(=O)C(N=NC1=CC=C(C)C=C1[N+]([O-])=O)C(=O)NC1=CC=CC=C1,0
ClCCCBr,1
[Na+].[Na+].[Na+].OC1=C2C=CC3=C(C=C(C4=CC=C(C(=C1)S([O-])(=O)=O)C2=C34)S([O-])(=O)=O)S([O-])(=O)=O,0
CCCCCCCCCCCC(=O)OC=C,0
NC1=CC=C(C=C1)N=NC1=CC=C(C=C1)S(O)(=O)=O,0
[Ca++].OC1=C(C=C2C=CC=CC2=C1N=NC1=CC(=C(Cl)C=C1)S([O-])(=O)=O)C([O-])=O,0
Cl[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,0
[Se]=[As][Se][As]=[Se],0
CP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,0
CC(=O)OC(C)(C)C1CCC(C)=CC1,0
CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC,0
C=CN1CCN(C=C)C1=O,0
OC(=O)CCCC(O)=O,0
OC(=O)CC1=CC=CC=C1,0
CCC=O,0
CCCCC(CC)COCC(O)CO,0
CCC(C)C1=CC(=CC(C(C)CC)=C1O)N=NC1=CC=C(C=C1)[N+]([O-])=O,0
CCCCN(CCCC)C1=[S][Cu++]2([S-]1)[S-]C(=[S]2)N(CCCC)CCCC,0
