COC(=O)Cl
O=C1CCCC(=O)C1
CCCCOC(=O)CC
C[N+](C)=CCC(O)CC(=N)[O-].Cl
C=C=CC
Cc1cc(C(C)(C)C)c(O)c(C)c1Cn1c(=O)n(Cc2c(C)cc(C(C)(C)C)c(O)c2C)c(=O)n(Cc2c(C)cc(C(C)(C)C)c(O)c2C)c1=O
Nc1cc(N)cc(C(=O)O)c1
O=P(OCCCl)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl
CC1C(C=O)CC2CC1C2(C)C
COc1ccc(N2CCN(c3ccc(-n4cn[nH]c4=O)cc3)CC2)cc1
CCc1cccc2c(CCO)c[nH]c12
CC1CCOCC1
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O
Clc1ccc(Cl)cc1
CON.Cl
CC(C)(N=NC(C)(C)C1=NCCN1)C1=NCCN1.Cl.Cl
Cc1ccco1
CCCCCCCCC(CCCCCC)C(=O)OCC(COC(=O)C(CCCCCC)CCCCCCCC)(COC(=O)C(CCCCCC)CCCCCCCC)COC(=O)C(CCCCCC)CCCCCCCC
Cl.Cl.Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl
Oc1ccc(Cl)cc1Cl
O=C(O)CSc1nc2ccccc2s1
CCO[Si](CCl)(OCC)OCC
O=S(=O)([O-])CCS(=O)(=O)c1ccc(N2CCC(c3ccc(Cl)cc3)=N2)cc1.[Na+]
C1CCC2OC2C1
FC(F)CCl
COc1cc(C(=O)O)ccc1O
C/C=C/C1CCC(C2CCC(CCC)CC2)CC1
C=CC(C)CCCC(C)(C)O
O=C[C@H](O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO)[C@@H](O)[C@H](O)[C@H](O)CO.OCC(O)CO
CCCCCCCC(=O)OCCOc1ccccc1
CNS(=O)(=O)Oc1ccc([O-])c(/N=N/[C-](C(C)=O)C(=O)Nc2ccccc2Cl)c1.CNS(=O)(=O)Oc1ccc([O-])c(/N=N/[C-](C(C)=O)C(=O)Nc2ccccc2Cl)c1.[Co+3].[Na+]
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CCCCCCCCCCCCCCO
CCCCCCCCCCCCCCCCN(C)C
OCCOCCOCCOCCO
O=COCCOC=O
COc1cc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(OC)c2)ccc1N=NC(C(C)=O)C(=O)Nc1ccccc1
[S-2].[Zn+2]
Cl.NCCCC[C@H](N)C(=O)O
CC[N+](=O)[O-]
OC[C@H](O)[C@@H](O)[C@H](O)CO
C1CN(CCOCCN2CCOCC2)CCO1
Cl[W](Cl)(Cl)(Cl)(Cl)Cl
CC1(C)[C@H]2CC[C@@]3(C2)C(C)(C)CC[C@H]2O[C@@]213
COC(=O)OC
CCC(C)N[Si](C)(NC(C)CC)NC(C)CC
O=C=NCc1cccc(N2C(=O)N(c3cccc(CN=C=O)c3)C2=O)c1
CC(C)(C)c1nn(-c2cc(C(=O)O)cc(C(=O)O)c2)c(N)c1N=Nc1nnc(SCCSc2nnc(N=Nc3c(C(C)(C)C)nn(-c4cc(C(=O)O)cc(C(=O)O)c4)c3N)s2)s1
CCO[Si](CCCNCCC[Si](OCC)(OCC)OCC)(OCC)OCC
CC(=O)OCCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1
CC(=O)[O-].Nc1ccc(C(=C2C=CC(=[NH2+])C=C2)c2ccc(N)cc2)cc1
[O-2].[O-2].[O-2].[W+6]
c1ccc([Si]2(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)cc1
O=P[O-].O=P[O-].[Mn+2]
CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
CC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+]
O=C1CC/C=C\CCCCCCCCCC1
CS(=O)(=O)Oc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1
CO[Si](CCCNC1CCCCC1)(OC)OC
CCCC
C(CCOCC1CO1)COCC1CO1
CCC(=O)CC(C)CC
CC(=O)OC(C)(C)Cc1ccccc1
C=C1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
C=CC(=C)CC/C=C(\C)CCC=C(C)C
CO[Si](CCCCCC[Si](OC)(OC)OC)(OC)OC
O=[Al-]=O.[Na+]
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C=C[C@H]1CC[C@H]([C@H]2CC[C@H](CCC)CC2)CC1
CC(=O)N[C@@H](CCC(=O)O)C(=O)O.CC(C)C[C@H](N)c1ccccc1N1CCCCC1
CCCCCCCCN=c1cc[nH]cc1
CCP(=O)([O-])CC.CCP(=O)([O-])CC.CCP(=O)([O-])CC.[Al+3]
[K+].[K+].[O-]B1OB2OB([O-])OB(O1)O2
O=[Mo-2](=O)(=O)=O.[Na+].[Na+]
CCCCCCCCCCCC(=O)N[C@@H](CCCNC(=N)N)C(=O)OCC.Cl
CC(=O)OCCOCCOCCOC(C)=O
CC(=O)[O-].[Li+]
CCCCO
CCOC(=O)c1ccc2sc3ccccc3c(=O)c2c1
Oc1cc(O)cc(O)c1
C=CCOC(=O)C1CCCCC1C(=O)OCC=C
CCN(CC)CCCN
CCC1(CO)COC1
CCCCCCC(=O)O
Cl.N=C(Nc1ccccc1)Nc1ccccc1
C=CS(=O)(=O)CCOCCNc1nc(F)nc(Nc2ccc(N=Nc3c(N)c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(O)c34)c(S(=O)(=O)[O-])c2)n1.[Na+].[Na+].[Na+]
CCCCCC=O
O=C([O-])C(=O)[O-].O=C([O-])C(=O)[O-].O=C([O-])C(=O)[O-].[Cr+3].[Cr+3]
CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC
O=C(O)c1cc(I)ccc1Cl
O=[Nd]O[Nd]=O
Cc1cc2[nH]c(=O)[nH]c2cc1N=NC1C(=O)NC(=O)NC1=O
CC(=O)OC/C=C(\C)CCC=C(C)C
C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C
C=COCC1CCC(COC=C)CC1
Cc1ccc(NC(=O)N(C)C)cc1NC(=O)N(C)C
C[N+](C)(C)CC(O)CCl.[Cl-]
CCC[Si](OC(C)=O)(OC(C)=O)OC(C)=O
O=C(O)c1cccc(C(=O)O)n1
CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
CCCN(C)C
Cc1cc(C)c(O)c(C)c1
c1ccc2ccccc2c1
CCCCC#N
CCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCC(=O)[O-].[Ba+2]
O=C1C(=C2Nc3ccccc3C2=O)Nc2ccccc21
O=P([O-])([O-])O.[NH4+].[NH4+]
O=S(=O)(Cl)Cl
Cc1ccc(C)c([N+](=O)[O-])c1
O=S(=O)([O-])[O-].[K+].[K+]
CC1(C)C(=O)N(CO)C(=O)N1CO
Cc1ccc([N+](=O)[O-])c(C)c1
O=S(=O)([O-])[S-].[NH4+].[NH4+]
C=C(C#N)C(=O)OCC
CC(C)(C)c1ccc(N)cc1
Cn1[nH]c(=O)c(=O)nc1SCC1=C(C(=O)O)N2C(=O)[C@@H](N)C2SC1
CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC)C(=O)NCCCC
CCNc1ccccc1
Nc1cccc(C(O)=Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(O)c23)c1
O=C(c1ccccc1)c1ccccc1
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-]
S=C(Nc1ccccc1)Nc1ccccc1
CC1(C)CO1
CN1CCCCC1CCO
Cn1cc(C(=O)O)c(C(F)F)n1
Clc1ccc(Cl)c(Cl)c1
FC(F)(F)/C=C\C(F)(F)F
CCC1C(=O)CCC1=O
CC(C)=CCCc1ccc2c(c1)C(=O)c1ccccc1C2=O
O=S(=O)([O-])c1cc(O)c2c(O)c(N=Nc3cc(Cl)ccc3O)c(S(=O)(=O)[O-])cc2c1.[Na+].[Na+]
CCCCC(CC)CNC(=O)c1ccc(N=Nc2c(C)c(C#N)c(=O)n(C)c2O)cc1
Cc1cc(N=Nc2ccc(O)c(C(=O)[O-])c2)c(OCCCS(=O)(=O)[O-])cc1N=Nc1ccc([N+](=O)[O-])cc1S(=O)(=O)[O-].[Na+].[Na+].[Na+]
c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1
COc1ccccc1OCCN.Cl
C1CO1
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-]
C=C(C)C(=O)OCC[N+](C)(C)C.[Cl-]
O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1
CC(=O)C(/N=N/c1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-])C(=O)Nc1ccccc1Cl.CC(=O)C(/N=N/c1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-])C(=O)Nc1ccccc1Cl.CC(=O)C(N=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-])C(=O)Nc1ccccc1Cl.CC(=O)C(N=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-])C(=O)Nc1ccccc1Cl.[Ca+2]
CC(C)C[C@H]1OC[C@H](C)CO1
O=C1NCCN1
Cc1cc(Cc2cc(C)cc(C3(C)CCCCC3)c2O)c(O)c(C2(C)CCCCC2)c1
CCCCC(CC)CN.Cc1nn(-c2ccccc2)c(=O)[c-]1/N=N/c1ccccc1C(=O)[O-].Cc1nn(-c2ccccc2)c(=O)[c-]1/N=N/c1ccccc1C(=O)[O-].[Cr+3].[H+]
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
CCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)[O-])C(=O)O.[Na+]
Clc1cccc(Cl)c1Nc1ccccc1
CS(=O)(=O)c1ccc(O)c(N)c1
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@@H]1O[C@@H](O)CS1
COc1cc(OC)c(NC(=O)c2cc3ccccc3c(/N=N/c3cc(C(=O)Nc4ccc(C(N)=O)cc4)ccc3OC)c2O)cc1Cl
CC(=O)C(N=Nc1ccc(C)cc1[N+](=O)[O-])C(=O)Nc1ccccc1
ClCCCBr
O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34.[Na+].[Na+].[Na+]
C=COC(=O)CCCCCCCCCCC
Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1
O=C([O-])c1cc2ccccc2c(N=Nc2ccc(Cl)c(S(=O)(=O)[O-])c2)c1O.[Ca+2]
Cl[Si](Cl)(c1ccccc1)c1ccccc1
[Se]=[As][Se][As]=[Se]
CP(=O)(Oc1ccccc1)Oc1ccccc1
CC(=O)OC(C)(C)C1CC=C(C)CC1
CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC
C=CN1CCN(C=C)C1=O
O=C(O)CCCC(=O)O
O=C(O)Cc1ccccc1
CCC=O
CCCCC(CC)COCC(O)CO
CCC(C)c1cc(N=Nc2ccc([N+](=O)[O-])cc2)cc(C(C)CC)c1O
CCCCN(CCCC)C1=[S][Cu+2]2([S]=C(N(CCCC)CCCC)[S-]2)[S-]1
CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H]1CO[C@H]([C@@H](CO)OC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@@H]1OC(=O)CCCCCCCCCCCCCCCCCCCCC
S=[Sb]S[Sb]=S
CCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1
CC(C)Cc1ccc(CC(C)C=O)cc1
Cc1ccc2oc(C=Cc3nc4cc(C)ccc4o3)nc2c1
O=C(N[C@H](C(=O)O)C1CCCCC1)OCc1ccccc1
CCC(C)c1ccc2ncccc2c1
COc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OC)cc4)c(Cl)c3)cc2Cl)C(C)=O)cc1
CCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
Cl.Cl.Nc1ccc(OCCO)c(N)c1
C1CC(N2CCOCC2)CCN1
Cc1ccc(C(=O)OC(C)C)cc1N=Nc1c(O)c(C(=O)Nc2cc(Cl)c(NC(=O)c3cc4ccccc4c(N=Nc4cc(C(=O)OC(C)C)ccc4C)c3O)cc2Cl)cc2ccccc12
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-]
Cl[Ti](Cl)Cl
O=C([O-])c1cc2ccccc2c(N=Nc2ccc3ccccc3c2S(=O)(=O)[O-])c1O.[Ca+2]
CC(C)=CCC/C(C)=C/COC(=O)Cc1ccccc1
CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2]
O=C1CCCC=CCCCCCCCCCC1
CC(C)(C1CCCO1)C1CCCO1
CCCCCCCCCCCCCCOC(=O)C(C)O
c1ccc2[nH]cnc2c1
CCC(C)(C)C1CCCCC1OC(C)=O
CCCCCCCCN(CCO)CCO
[Br-].[Br-].[Ca+2]
O=[Cr](=O)([O-])[O-].[Ba+2]
Br.CC(=O)NC1CCc2nc(N)sc2C1
NP(N)(=O)Nc1ccccc1[N+](=O)[O-]
CCOC(=O)C1CCC(C)CC1=O
CCCCCCCC[Sn](SCC(=O)OCC(CC)CCCC)(SCC(=O)OCC(CC)CCCC)SCC(=O)OCC(CC)CCCC
CC1(C)COC(=O)[C@@H]1O
CCCCC(CC)COC(=O)C1CCC2OC2C1
COc1cc(N=Nc2cccc(S(=O)(=O)O)c2)ccc1NC(=O)Nc1ccc(N=Nc2cccc(S(=O)(=O)O)c2)cc1OC.OCCNCCO.OCCNCCO
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
CCCCC(CC)COC(=O)c1ccccc1
CCCC1CCC(=O)O1
C=CCCCCCCCCCCCC
[K+].[K+].[Mo+6].[O-2].[O-2].[O-2].[O-2]
CC(C)(CO)COC(=O)C(C)(C)CO
C=C(C)C
O=C1COCCN1c1ccccc1
CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CC(C)O[N+](=O)[O-]
CCOC(=O)C1OC1c1ccccc1
O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12
O=CC(Cl)(Cl)Cl
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3O2)cc1O
CCCC(=O)OCC
CCCCCCCCCCCCCCCCOC(=O)Oc1c(Cl)cc(C(=O)OCC)cc1Cl
CCN(CC)CC#N
Sc1nnc(S)s1
CCCCCCCCCCCCCCCCCCCC
NC(=O)NC(=O)[O-].[K+]
CC(C)C(C)(C)C(C)(C)C(C)(C)S
CCC(C)=CCCC(C)=O
O=C([O-])[C@@H]1COc2ccccc2O1
NCCNCc1ccc(Cl)nc1
CC(C)C[C@H](N)c1ccccc1N1CCCCC1
C#CCS(=O)(=O)[O-].[Na+]
CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
Cc1nccn1CCc1nc(N)nc(N)n1
CCCCCCCCC=CCCCCCCCCN(CCO)CCO
O=S(=O)([O-])CC(O)CNC1CCCCC1.[Na+]
CCC(C)(C)OC
CCCCCCCCCCOC(C)=O
c1nc[nH]n1
C=CCc1ccc(OC)cc1
COC(=O)C1CC(=O)C(C(=O)OC)CC1=O
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
CCCCCCCCCCCC(=O)OC(C)C
CCCCC1CCC(C2CCC(CCC)CC2)CC1
O=C(O)c1ccco1
O=C(O)CN(CC(=O)O)CP(=O)(O)O
CC(C)CCOC(=O)c1ccccc1
O=P([O-])([O-])O.[Ca+2]
CC(C)CCCC(C)(C)O
C1=COCCC1
CCCOC(=O)c1ccc(O)cc1
COC(=O)c1ccc(O)cc1
CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC
CCCCCCCCC(CCCCCC)C(=O)OC[C@H](OC(=O)C(CCCCCC)CCCCCCCC)[C@H]1OC(=O)C(OC(=O)C(CCCCCC)CCCCCCCC)=C1OC(=O)C(CCCCCC)CCCCCCCC
CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C
*C.*C.CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
NCCCCCCN
CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC
CCCCC(CC)COCCCN.O=[N+]([O-])c1ccc(/N=N/c2c([O-])ccc3ccccc23)c([O-])c1.O=[N+]([O-])c1ccc([O-])c(/N=N/c2c([O-])ccc3ccccc23)c1.[Cr+3].[H+]
CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1
CCN(CC)c1ccc2cc(-c3nc4cc(S(N)(=O)=O)ccc4o3)c(=O)oc2c1
O=C(c1ccccc1)c1ccc(OCC(O)COc2ccc(C(=O)c3ccccc3)c(O)c2)cc1O
CCCCCCCCCCCCN(CCC(=O)[O-])CCC(=O)O.[Na+]
CC1=[N+](C)c2ccc3ccccc3c2C1(C)C.Cc1ccc(S(=O)(=O)[O-])cc1
CCCCCCCOCC(C)CC=O
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1
CC1OCC(c2ccccc2)O1
NCCCNCCCN
Nc1c(Cl)cc(C(F)(F)F)cc1Cl
C=CP(=O)(O)O
CC1=CC(=O)N(Cc2cccc(CN3C(=O)C=C(C)C3=O)c2)C1=O
O=C1C(=C2Sc3ccccc3C2=O)Sc2ccccc21
O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3]
[Al+3].[Cs+].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-].[F-]
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Mn+2].[Mn+2].[Mn+2]
O=C(O)CC[C@@H](C(=O)O)N1C(=O)c2ccccc2C1=O
CC(C)CP(=S)([S-])CC(C)C.[Na+]
O=P(O)(O)c1ccccc1
O=S(=O)(O)C(F)(F)F
CCCCCCCCCCCCBr
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1
CC(C)Cc1ccccc1
CCC(C)c1cc(C(C)CC)c(O)c(C(C)CC)c1
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
C=C(C)C(=O)OCCC[Si](C)(OC)OC
CC1(CO)CN(c2ccccc2)NC1=O
C=C[Si](O/N=C(\C)CCC)(O/N=C(\C)CCC)O/N=C(\C)CCC
C=C(C)C(=O)OCCCCCCCCCC
CCCCCCCCCC
CC(=O)CC(C)(C)O
C=CC1CC=CCC1
CCOCOCC
C=CF
C=COC(C)=O
FC(F)CC(F)(F)F
NC(=O)[C@@H]1CCCN1
CCC(C)(CCCC(C)C)OC(C)=O
C=C(F)F
O=S(=O)([O-])c1ccc(Nc2nc(Cl)nc(NCCNc3ccc4c(c3S(=O)(=O)[O-])Oc3c(Cl)c5c(c(Cl)c3=N4)Oc3c(ccc(NCCNc4nc(Cl)nc(Nc6ccc(S(=O)(=O)[O-])cc6S(=O)(=O)[O-])n4)c3S(=O)(=O)[O-])N=5)n2)c(S(=O)(=O)[O-])c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
COC(=O)c1ccc(C(=O)O)cc1[N+](=O)[O-]
O=C1OC2(c3cc(Br)c(O)c(Br)c3Oc3c2cc(Br)c(O)c3Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c21
Nc1c(OCCCCCCO)cc(O)c2c1C(=O)c1ccccc1C2=O
CC(=O)C(N=Nc1ccccc1C(F)(F)F)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
Ic1cnn(C2CCNCC2)c1
CCC(=O)CC(C)(C)c1ccccc1
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Fe+2].[Fe+2].[Fe+2]
Cc1cc(C)c(C=O)c(C)c1
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1C1c2cc(Br)c([O-])c(Br)c2Oc2c1cc(Br)c(O)c2Br.[Na+].[Na+]
N#Cc1ccc(C=Cc2ccc(C=Cc3ccccc3C#N)cc2)cc1
CC(=O)C(N=Nc1cc(C(=O)Nc2cc(Cl)ccc2C)ccc1Cl)C(=O)Nc1cc(C)c(NC(=O)C(N=Nc2cc(C(=O)Nc3cc(Cl)ccc3C)ccc2Cl)C(C)=O)cc1C
CC(C)C1OCCN1CCOC(=O)NCCCCCCNC(=O)OCCN1CCOC1C(C)C
O=C([O-])O.[NH4+]
CNc1ccc2cc(S(=O)(=O)O)cc(O)c2c1
[Co]
Cc1ccc2nc3sc(=O)sc3nc2c1
COc1cc([N+](=O)[O-])ccc1N
Cc1cc(C)c(N)c(C)c1N
CC1(C)C(=O)N(CCO)C(=O)N1CCO
CC(C)c1ccc(N=C=O)cc1
O=C(O)[C@H](O)c1ccccc1
CC(=O)OC(C)CC(C)(C)c1ccccc1
CC(O)COC(C)CO[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C
CN1CCOCC1
O=C(O)c1cccc(Cl)c1Cl
CC(=O)OOC(C)(C)C
CCCCCC(C)(CC)C(=O)OOC(C)(C)CC(C)(C)C
O=S(=O)([O-])CCCSSCCCS(=O)(=O)[O-].[Na+].[Na+]
C=CC(=O)NCCC[N+](C)(C)C.[Cl-]
CCCCCC(CCC)COC(=O)c1ccccc1C(=O)OCC(CCC)CCCCC
[Ni+2].[S-2]
Cc1ccc(S(=O)(=O)O)cc1
Nc1ccc(C2(c3ccc(N)c(Cl)c3)c3ccccc3-c3ccccc32)cc1Cl
NCC(F)F
CCCCC(=O)OCC
[Ag]O[Ag]
O=C(O)c1cccc(C(=O)O)c1
O=CCc1ccccc1
COCCOCCOCCOB(OCCOCCOCCOC)OCCOCCOCCOC
CC1(C)CC(NCCCCCCNC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1
Cc1nn(C)c(O)c1C(O)c1ccc(C(F)(F)F)cc1S(C)(=O)=O
NCCOCCOCCN
CCc1nc(C)c[nH]1
CC(C)OC(=O)c1ccccc1
O=C(c1ccccc1)C1(O)CCCCC1
C=CC(=O)OCCOC(=O)C1CCCCC1C(=O)O
CCCCN(CCO)CCO
COC(=O)Cc1ccccc1
CC(=O)OCCOc1ccc(C(C)(C)c2ccc(OCCOC(C)=O)cc2)cc1
COc1cc(C2CC(OC)CC(C(C)(C)C)C2OP2OC3CCCCC3C3CCCCC3O2)c(OP2OC3CCCCC3C3CCCCC3O2)c(C(C)(C)C)c1
CCC(=O)N(c1ccccc1)C1CCNCC1
CC(C)OC(=O)CCC(=O)OC(C)C
O=[Sb]O[Sb]=O
CCCC1=CC(=O)OC1O
O=[PH]([O-])[O-].[Ca+2]
COc1ccc(C(C)=O)cc1
CNS(=O)(=O)c1ccc2c(N=Nc3ccc([N+](=O)[O-])cc3[O-])c([NH-])ccc2c1.[Co+3].[NH-]c1ccc2cc(S(=O)(=O)[O-])ccc2c1N=Nc1ccc([N+](=O)[O-])cc1[O-].[Na+].[Na+]
CCCCCC=CCC(CC(=O)O)C(=O)O
O=S(=O)([O-])c1cccc2c(S(=O)(=O)[O-])cccc12.[Na+].[Na+]
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+]
S=c1[nH]c2ccccc2[nH]1
N#CNC(=N)N
Cc1ccc(S(=O)(=O)O)cc1.c1ccncc1
O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12
CN1CCN(C)CCN(C)CC1
C=C[Si](OCCOC)(OCCOC)OCCOC
CC1CCC(C(C)C)CC1
